"","ICD.9.CM.CODE","CCS.CATEGORY","CCS.CATEGORY.DESCRIPTION","ICD.9.CM.CODE.DESCRIPTION","ICD9.CODE.FRMT"
"738","2642 ","33 ","OR nose mout     ","""SALIVARY FISTULA CLOSURE""","26.42"
"739","2649 ","33 ","OR nose mout     ","""SALIVARY REPAIR NEC""","26.49"
"740","2699 ","33 ","OR nose mout     ","""SALIVARY OPERATION NEC""","26.99"
"741","270  ","33 ","OR nose mout     ","""DRAIN FACE & MOUTH FLOOR""","27.0"
"742","271  ","33 ","OR nose mout     ","""INCISION OF PALATE""","27.1"
"743","2731 ","33 ","OR nose mout     ","""LOC EXC BONY PALATE LES""","27.31"
"744","2732 ","33 ","OR nose mout     ","""WIDE EXC BONY PALATE LES""","27.32"
"745","2742 ","33 ","OR nose mout     ","""WIDE EXCISION OF LIP LES""","27.42"
"746","2743 ","33 ","OR nose mout     ","""EXCISION OF LIP LES NEC""","27.43"
"747","2749 ","33 ","OR nose mout     ","""EXCISION OF MOUTH NEC""","27.49"
"748","2753 ","33 ","OR nose mout     ","""CLOSURE OF MOUTH FISTULA""","27.53"
"749","2754 ","33 ","OR nose mout     ","""REPAIR OF CLEFT LIP""","27.54"
"750","2755 ","33 ","OR nose mout     ","""FULL-THICK GRFT TO MOUTH""","27.55"
"751","2756 ","33 ","OR nose mout     ","""SKIN GRAFT TO MOUTH NEC""","27.56"
"752","2757 ","33 ","OR nose mout     ","""PEDICLE ATTACH TO MOUTH""","27.57"
"753","2759 ","33 ","OR nose mout     ","""MOUTH REPAIR NEC""","27.59"
"754","2761 ","33 ","OR nose mout     ","""SUTURE OF PALATE LACERAT""","27.61"
"755","2762 ","33 ","OR nose mout     ","""CLEFT PALATE CORRECTION""","27.62"
"756","2763 ","33 ","OR nose mout     ","""REVIS CLEFT PALAT REPAIR""","27.63"
"757","2764 ","33 ","OR nose mout     ","""INSERT PALATAL IMPLANT (Begin 2004)""","27.64"
"758","2769 ","33 ","OR nose mout     ","""OTH PLASTIC REPAIR PALAT""","27.69"
"759","2771 ","33 ","OR nose mout     ","""INCISION OF UVULA""","27.71"
"760","2772 ","33 ","OR nose mout     ","""EXCISION OF UVULA""","27.72"
"761","2773 ","33 ","OR nose mout     ","""REPAIR OF UVULA""","27.73"
"762","2779 ","33 ","OR nose mout     ","""OTHER UVULA OPERATIONS""","27.79"
"763","2792 ","33 ","OR nose mout     ","""MOUTH INCISION NOS""","27.92"
"764","2799 ","33 ","OR nose mout     ","""ORAL CAVITY OPS NEC""","27.99"
"765","280  ","33 ","OR nose mout     ","""PERITONSILLAR I & D""","28.0"
"766","284  ","33 ","OR nose mout     ","""EXCISION OF TONSIL TAG""","28.4"
"767","285  ","33 ","OR nose mout     ","""EXCISION LINGUAL TONSIL""","28.5"
"768","2891 ","33 ","OR nose mout     ","""INCIS TO REMOV TONSIL FB""","28.91"
"769","2892 ","33 ","OR nose mout     ","""EXCIS TONSIL/ADENOID LES""","28.92"
"770","2899 ","33 ","OR nose mout     ","""TONSIL/ADENOID OPS NEC""","28.99"
"771","290  ","33 ","OR nose mout     ","""PHARYNGOTOMY""","29.0"
"772","292  ","33 ","OR nose mout     ","""EXC BRANCHIAL CLEFT CYST""","29.2"
"773","293  ","33 ","OR nose mout     ","""DESTRUCT PHARYNGEAL LES (Begin 1980 End 1991)""","29.3"
"774","2931 ","33 ","OR nose mout     ","""CRICOPHARYNGEAL MYOTOMY (Begin 1991)""","29.31"
"775","2932 ","33 ","OR nose mout     ","""PHARYNGEAL DIVERTICULEC (Begin 1991)""","29.32"
"776","2933 ","33 ","OR nose mout     ","""PHARYNGECTOMY (Begin 1991)""","29.33"
"777","2939 ","33 ","OR nose mout     ","""EXCIS/DESTR LES PHAR NEC (Begin 1991)""","29.39"
"778","294  ","33 ","OR nose mout     ","""PLASTIC OP ON PHARYNX""","29.4"
"779","2951 ","33 ","OR nose mout     ","""SUTURE OF PHARYNGEAL LAC""","29.51"
"780","2952 ","33 ","OR nose mout     ","""CLOS BRANCH CLEFT FISTUL""","29.52"
"781","2953 ","33 ","OR nose mout     ","""CLOS PHARYNX FISTULA NEC""","29.53"
"782","2954 ","33 ","OR nose mout     ","""LYSIS PHARYNGEAL ADHES""","29.54"
"783","2959 ","33 ","OR nose mout     ","""PHARYNGEAL REPAIR NEC""","29.59"
"784","2992 ","33 ","OR nose mout     ","""DIVIS GLOSSOPHARYNG NERV""","29.92"
"785","2999 ","33 ","OR nose mout     ","""PHARYNGEAL OPERATION NEC""","29.99"
"786","311  ","34 ","Tracheostomy     ","""TEMPORARY TRACHEOSTOMY""","31.1"
"787","3121 ","34 ","Tracheostomy     ","""MEDIASTINAL TRACHEOSTOMY""","31.21"
"788","3129 ","34 ","Tracheostomy     ","""OTHER PERM TRACHEOSTOMY""","31.29"
"789","3142 ","35 ","Tracheoscopy     ","""LARYGNOSCOPY/TRACHEOSCOP""","31.42"
"790","3143 ","35 ","Tracheoscopy     ","""(CLOSED) BIOPSY LARYNX (Begin 1988)""","31.43"
"791","3144 ","35 ","Tracheoscopy     ","""(CLOSED) BIOPSY TRACHEA (Begin 1988)""","31.44"
"792","3220 ","36 ","Pneumonectom     ","""THORAC EXC LUNG LESION (Begin 2007)""","32.20"
"793","3221 ","36 ","Pneumonectom     ","""EMPHYSEMA BLEB PLICATION""","32.21"
"794","3222 ","36 ","Pneumonectom     ","""LUNG VOL REDUCT SURG (Begin 1995)""","32.22"
"795","3223 ","36 ","Pneumonectom     ","""OPEN ABLTN LUNG LES/TISS (Begin 2006)""","32.23"
"796","3224 ","36 ","Pneumonectom     ","""PERC ABLTN LUNG LES/TISS (Begin 2006)""","32.24"
"797","3225 ","36 ","Pneumonectom     ","""THOR ABLTN LUNG LES/TISS (Begin 2006)""","32.25"
"798","3226 ","36 ","Pneumonectom     ","""ABLTN LUNG TISS NEC/NOS (Begin 2006)""","32.26"
"799","3227 ","36 ","Pneumonectom     ","""Brnc thrmplstyablt mscl (Begin 2010)""","32.27"
"800","3229 ","36 ","Pneumonectom     ","""DESTROY LOC LUNG LES NEC""","32.29"
"801","323  ","36 ","Pneumonectom     ","""SEGMENTAL LUNG RESECTION (End 2007)""","32.3"
"802","3230 ","36 ","Pneumonectom     ","""THORAC SEG LUNG RESECT (Begin 2007)""","32.30"
"803","3239 ","36 ","Pneumonectom     ","""OTH SEG LUNG RESECT NOS (Begin 2007)""","32.39"
"804","324  ","36 ","Pneumonectom     ","""LOBECTOMY OF LUNG (End 2007)""","32.4"
"805","3241 ","36 ","Pneumonectom     ","""THORAC LOBECTOMY LUNG (Begin 2007)""","32.41"
"806","3249 ","36 ","Pneumonectom     ","""LOBECTOMY OF LUNG NEC (Begin 2007)""","32.49"
"807","325  ","36 ","Pneumonectom     ","""COMPLETE PNEUMONECTOMY (End 2007)""","32.5"
"808","3250 ","36 ","Pneumonectom     ","""THORACOSPC PNEUMONECTOMY (Begin 2007)""","32.50"
"809","3259 ","36 ","Pneumonectom     ","""OTHER PNEUMONECTOMY NOS (Begin 2007)""","32.59"
"810","3322 ","37 ","Bronchoscopy     ","""FIBER-OPTIC BRONCHOSCOPY""","33.22"
"811","3323 ","37 ","Bronchoscopy     ","""OTHER BRONCHOSCOPY""","33.23"
"812","3324 ","37 ","Bronchoscopy     ","""CLOSED BRONCHIAL BIOPSY""","33.24"
"813","3326 ","37 ","Bronchoscopy     ","""CLOSED LUNG BIOPSY""","33.26"
"814","3327 ","37 ","Bronchoscopy     ","""CLOS ENDOSCOPIC LUNG BX (Begin 1987)""","33.27"
"815","3372 ","37 ","Bronchoscopy     ","""ENDO PULM ARWY FLOW MSMT (Begin 2008)""","33.72"
"816","3320 ","38 ","Dx prs lung      ","""THORACOSCOPC LUNG BIOPSY (Begin 2007)""","33.20"
"817","3325 ","38 ","Dx prs lung      ","""OPEN BRONCHIAL BIOPSY""","33.25"
"818","3328 ","38 ","Dx prs lung      ","""OPEN LUNG BIOPSY (Begin 1987)""","33.28"
"819","3329 ","38 ","Dx prs lung      ","""BRONCH/LUNG DX PROC NEC (Begin 1987)""","33.29"
"820","3402 ","38 ","Dx prs lung      ","""EXPLORATORY THORACOTOMY""","34.02"
"821","3404 ","39 ","Thoracentesi     ","""INSERT INTERCOSTAL CATH""","34.04"
"822","3406 ","39 ","Thoracentesi     ","""THORAC DRAIN PLEURL CAV (Begin 2007)""","34.06"
"823","3409 ","39 ","Thoracentesi     ","""OTHER PLEURAL INCISION""","34.09"
"824","3491 ","39 ","Thoracentesi     ","""THORACENTESIS""","34.91"
"825","3141 ","40 ","Dx respirat      ","""TRACHEOSCOPY THRU STOMA""","31.41"
"826","3145 ","40 ","Dx respirat      ","""OPN BX LARYNX OR TRACHEA (Begin 1988)""","31.45"
"827","3148 ","40 ","Dx respirat      ","""OTH LARYNX DX PROCEDURE""","31.48"
"828","3149 ","40 ","Dx respirat      ","""OTH TRACHEA DX PROCEDURE""","31.49"
"829","3321 ","40 ","Dx respirat      ","""BRONCHOSCOPY THRU STOMA""","33.21"
"830","3420 ","40 ","Dx respirat      ","""THORACOSCOPIC PLEURAL BX (Begin 2007)""","34.20"
"831","3421 ","40 ","Dx respirat      ","""TRANSPLEURA THORACOSCOPY""","34.21"
"832","3422 ","40 ","Dx respirat      ","""MEDIASTINOSCOPY""","34.22"
"833","3423 ","40 ","Dx respirat      ","""CHEST WALL BIOPSY""","34.23"
"834","3424 ","40 ","Dx respirat      ","""PLEURAL BIOPSY""","34.24"
"835","3425 ","40 ","Dx respirat      ","""CLOS MEDIASTINAL BIOPSY""","34.25"
"836","3426 ","40 ","Dx respirat      ","""OPEN MEDIASTINAL BIOPSY""","34.26"
"837","3427 ","40 ","Dx respirat      ","""BIOPSY OF DIAPHRAGM""","34.27"
"838","3428 ","40 ","Dx respirat      ","""DX PROCEDURE THORAX NEC""","34.28"
"839","3429 ","40 ","Dx respirat      ","""DX PROC MEDIASTINUM NEC""","34.29"
"840","310  ","41 ","n-OR respira     ","""INJECTION OF LARYNX""","31.0"
"841","3193 ","41 ","n-OR respira     ","""REPLACE TRAC/LARYN STENT""","31.93"
"842","3194 ","41 ","n-OR respira     ","""TRACHEAL INJECTION""","31.94"
"843","3195 ","41 ","n-OR respira     ","""TRACHEOESOPH FISTULIZAT (Begin 1989)""","31.95"
"844","3201 ","41 ","n-OR respira     ","""ENDOSC DESTRUC BRONC LES (Begin 1989)""","32.01"
"845","3228 ","41 ","n-OR respira     ","""ENDOSC DESTRUC LUNG LES (Begin 1989)""","32.28"
"846","3331 ","41 ","n-OR respira     ","""DESTR PHREN-LUNG COLLAPS""","33.31"
"847","3332 ","41 ","n-OR respira     ","""PNEMOTHORAX-LUNG COLLAPS""","33.32"
"848","3333 ","41 ","n-OR respira     ","""PNEUMOPERIT-LUNG COLLAPS""","33.33"
"849","3371 ","41 ","n-OR respira     ","""ENDO INSRT/REPL BRON VAL (Begin 2006)""","33.71"
"850","3373 ","41 ","n-OR respira     ","""Endo ins/re brnc val""","33.73"
"851","3378 ","41 ","n-OR respira     ","""ENDO REM BRONCH DEVC/SUB (Begin 2006)""","33.78"
"852","3379 ","41 ","n-OR respira     ","""ENDO INSRT BRONC DEF/SUB (Begin 2006)""","33.79"
"853","3391 ","41 ","n-OR respira     ","""BRONCHIAL DILATION""","33.91"
"854","3471 ","41 ","n-OR respira     ","""SUTURE CHEST WALL LACER""","34.71"
"855","3472 ","41 ","n-OR respira     ","""THORACOSTOMY CLOSURE""","34.72"
"856","3492 ","41 ","n-OR respira     ","""INJECT INTO THORAX CAVIT""","34.92"
"857","9655 ","41 ","n-OR respira     ","""TRACHEOSTOMY TOILETTE""","96.55"
"858","9656 ","41 ","n-OR respira     ","""BRONCH/TRACH LAVAGE NEC""","96.56"
"859","9723 ","41 ","n-OR respira     ","""REPLACE TRACH TUBE""","97.23"
"860","9737 ","41 ","n-OR respira     ","""REMOVE TRACHEOSTOMY TUBE""","97.37"
"861","9741 ","41 ","n-OR respira     ","""REMOV THORACOTOMY TUBE""","97.41"
"862","9742 ","41 ","n-OR respira     ","""REMOV MEDIASTINAL DRAIN""","97.42"
"863","9743 ","41 ","n-OR respira     ","""REMOV THORAX SUTURES""","97.43"
"864","9749 ","41 ","n-OR respira     ","""REMOV THOR THER DEV NEC""","97.49"
"865","3001 ","42 ","OR respirato     ","""LARYNX CYST MARSUPIALIZ""","30.01"
"866","3009 ","42 ","OR respirato     ","""DESTRUCT LARYNX LES NEC""","30.09"
"867","301  ","42 ","OR respirato     ","""HEMILARYNGECTOMY""","30.1"
"868","3021 ","42 ","OR respirato     ","""EPIGLOTTIDECTOMY""","30.21"
"869","3022 ","42 ","OR respirato     ","""VOCAL CORDECTOMY""","30.22"
"870","3029 ","42 ","OR respirato     ","""OTHER PART LARYNGECTOMY""","30.29"
"871","303  ","42 ","OR respirato     ","""COMPLETE LARYNGECTOMY""","30.3"
"872","304  ","42 ","OR respirato     ","""RADICAL LARYNGECTOMY""","30.4"
"873","313  ","42 ","OR respirato     ","""INCIS LARYNX TRACHEA NEC""","31.3"
"874","315  ","42 ","OR respirato     ","""LOCAL DESTRUC TRACH LES""","31.5"
"875","3161 ","42 ","OR respirato     ","""SUTURE OF LARYNGEAL LAC""","31.61"
"876","3162 ","42 ","OR respirato     ","""LARYNGEAL FISTULA CLOS""","31.62"
"877","3163 ","42 ","OR respirato     ","""LARYNGOSTOMY REVISION""","31.63"
"878","3164 ","42 ","OR respirato     ","""LARYNGEAL FX REPAIR""","31.64"
"879","3169 ","42 ","OR respirato     ","""OTHER LARYNGEAL REPAIR""","31.69"
"880","3171 ","42 ","OR respirato     ","""SUTURE OF TRACHEAL LACER""","31.71"
"881","3172 ","42 ","OR respirato     ","""CLOSURE OF TRACHEOSTOMY""","31.72"
"882","3173 ","42 ","OR respirato     ","""TRACHEA FISTULA CLOS NEC""","31.73"
"883","3174 ","42 ","OR respirato     ","""REVISION OF TRACHEOSTOMY""","31.74"
"884","3175 ","42 ","OR respirato     ","""TRACHEAL RECONSTRUCTION""","31.75"
"885","3179 ","42 ","OR respirato     ","""OTHER TRACHEAL REPAIR""","31.79"
"886","3191 ","42 ","OR respirato     ","""LARYNGEAL NERV DIVISION""","31.91"
"887","3192 ","42 ","OR respirato     ","""LYSIS TRACH/LARYNX ADHES""","31.92"
"888","3198 ","42 ","OR respirato     ","""OTH LARYNGEAL OPERATION""","31.98"
"889","3199 ","42 ","OR respirato     ","""OTHER TRACHEAL OPERATION""","31.99"
"890","320  ","42 ","OR respirato     ","""LOCAL EXCIS DESTR BRONC LES (Begin 1980 End 1989)""","32.0"
"891","3209 ","42 ","OR respirato     ","""OTHER DESTRUC BRONC LES (Begin 1989)""","32.09"
"892","321  ","42 ","OR respirato     ","""OTHER BRONCHIAL EXCISION""","32.1"
"893","326  ","42 ","OR respirato     ","""RAD DISSEC THORAC STRUCT""","32.6"
"894","329  ","42 ","OR respirato     ","""OTHER EXCISION OF LUNG""","32.9"
"895","330  ","42 ","OR respirato     ","""INCISION OF BRONCHUS""","33.0"
"896","331  ","42 ","OR respirato     ","""INCISION OF LUNG""","33.1"
"897","3334 ","42 ","OR respirato     ","""THORACOPLASTY""","33.34"
"898","3339 ","42 ","OR respirato     ","""SURG COLLAPS OF LUNG NEC""","33.39"
"899","3341 ","42 ","OR respirato     ","""BRONCHIAL LACERAT SUTURE""","33.41"
"900","3342 ","42 ","OR respirato     ","""BRONCHIAL FISTULA CLOS""","33.42"
"901","3343 ","42 ","OR respirato     ","""LUNG LACERATION CLOSURE""","33.43"
"902","3348 ","42 ","OR respirato     ","""BRONCHIAL REPAIR NEC""","33.48"
"903","3349 ","42 ","OR respirato     ","""LUNG REPAIR NEC""","33.49"
"904","3392 ","42 ","OR respirato     ","""BRONCHIAL LIGATION""","33.92"
"905","3393 ","42 ","OR respirato     ","""PUNCTURE OF LUNG""","33.93"
"906","3398 ","42 ","OR respirato     ","""BRONCHIAL OPERATION NEC""","33.98"
"907","3399 ","42 ","OR respirato     ","""LUNG OPERATION NEC""","33.99"
"908","3401 ","42 ","OR respirato     ","""INCISION OF CHEST WALL""","34.01"
"909","3403 ","42 ","OR respirato     ","""REOPEN THORACOTOMY SITE""","34.03"
"910","3405 ","42 ","OR respirato     ","""CREATION PLEUROPERITONEAL SHUNT (Begin 1994)""","34.05"
"911","341  ","42 ","OR respirato     ","""INCISION OF MEDIASTINUM""","34.1"
"912","343  ","42 ","OR respirato     ","""DESTRUCT MEDIASTIN LES""","34.3"
"913","344  ","42 ","OR respirato     ","""DESTRUCT CHEST WALL LES""","34.4"
"914","3451 ","42 ","OR respirato     ","""DECORTICATION OF LUNG""","34.51"
"915","3452 ","42 ","OR respirato     ","""THORACOSCOPC DECORT LUNG (Begin 2007)""","34.52"
"916","3459 ","42 ","OR respirato     ","""OTHER PLEURAL EXCISION""","34.59"
"917","346  ","42 ","OR respirato     ","""SCARIFICATION OF PLEURA""","34.6"
"918","3473 ","42 ","OR respirato     ","""CLOS THORACIC FISTUL NEC""","34.73"
"919","3474 ","42 ","OR respirato     ","""PECTUS DEFORMITY REPAIR""","34.74"
"920","3479 ","42 ","OR respirato     ","""OTHER CHEST WALL REPAIR""","34.79"
"921","3481 ","42 ","OR respirato     ","""EXCISE DIAPHRAGM LESION""","34.81"
"922","3482 ","42 ","OR respirato     ","""SUTURE DIAPHRAGM LACERAT""","34.82"
"923","3483 ","42 ","OR respirato     ","""CLOSE DIAPHRAGM FISTULA""","34.83"
"924","3484 ","42 ","OR respirato     ","""OTHER DIAPHRAGM REPAIR""","34.84"
"925","3485 ","42 ","OR respirato     ","""IMPLANT DIAPHRA PACEMAKE""","34.85"
"926","3489 ","42 ","OR respirato     ","""DIAPHRAGM OPERATION NEC""","34.89"
"927","3493 ","42 ","OR respirato     ","""REPAIR OF PLEURA""","34.93"
"928","3499 ","42 ","OR respirato     ","""THORACIC OPERATION NEC""","34.99"
"929","3500 ","43 ","Heart valve      ","""CLOSED VALVOTOMY NOS""","35.00"
"930","3501 ","43 ","Heart valve      ","""CLOSED AORTIC VALVOTOMY""","35.01"
"931","3502 ","43 ","Heart valve      ","""CLOSED MITRAL VALVOTOMY""","35.02"
"932","3503 ","43 ","Heart valve      ","""CLOSED PULMON VALVOTOMY""","35.03"
"933","3504 ","43 ","Heart valve      ","""CLOSED TRICUSP VALVOTOMY""","35.04"
"934","3505 ","43 ","Heart valve      ","""Endovas repl aortc valve (Begin 2011)""","35.05"
"935","3506 ","43 ","Heart valve      ","""Trnsapcl rep aortc valve (Begin 2011)""","35.06"
"936","3507 ","43 ","Heart valve      ","""Endovas repl pulm valve (Begin 2011)""","35.07"
"937","3508 ","43 ","Heart valve      ","""Trnsapcl repl pulm valve (Begin 2011)""","35.08"
"938","3509 ","43 ","Heart valve      ","""Endovas repl uns hrt vlv (Begin 2011)""","35.09"
"939","3510 ","43 ","Heart valve      ","""OPEN VALVULOPLASTY NOS""","35.10"
"940","3511 ","43 ","Heart valve      ","""OPN AORTIC VALVULOPLASTY""","35.11"
"941","3512 ","43 ","Heart valve      ","""OPN MITRAL VALVULOPLASTY""","35.12"
"942","3513 ","43 ","Heart valve      ","""OPN PULMON VALVULOPLASTY""","35.13"
"943","3514 ","43 ","Heart valve      ","""OPN TRICUS VALVULOPLASTY""","35.14"
"944","3520 ","43 ","Heart valve      ","""REPLACE HEART VALVE NOS""","35.20"
"945","3521 ","43 ","Heart valve      ","""REPLACE AORT VALV-TISSUE""","35.21"
"946","3522 ","43 ","Heart valve      ","""REPLACE AORTIC VALVE NEC""","35.22"
"947","3523 ","43 ","Heart valve      ","""REPLACE MITR VALV-TISSUE""","35.23"
"948","3524 ","43 ","Heart valve      ","""REPLACE MITRAL VALVE NEC""","35.24"
"949","3525 ","43 ","Heart valve      ","""REPLACE PULM VALV-TISSUE""","35.25"
"950","3526 ","43 ","Heart valve      ","""REPLACE PULMON VALVE NEC""","35.26"
"951","3527 ","43 ","Heart valve      ","""REPLACE TRIC VALV-TISSUE""","35.27"
"952","3528 ","43 ","Heart valve      ","""REPLACE TRICUSP VALV NEC""","35.28"
"953","3596 ","43 ","Heart valve      ","""PERC HEART VALVULOPLASTY (Begin 1986)""","35.96"
"954","3597 ","43 ","Heart valve      ","""Perc mtrl vlv repr w imp (Begin 2010)""","35.97"
"955","3599 ","43 ","Heart valve      ","""OTHER HEART VALVE OPS""","35.99"
"956","3610 ","44 ","CABG             ","""AORTOCORONARY BYPASS NOS""","36.10"
"957","3611 ","44 ","CABG             ","""AORTOCOR BYPAS-1 COR ART""","36.11"
"958","3612 ","44 ","CABG             ","""AORTOCOR BYPAS-2 COR ART""","36.12"
"959","3613 ","44 ","CABG             ","""AORTOCOR BYPAS-3 COR ART""","36.13"
"960","3614 ","44 ","CABG             ","""AORTCOR BYPAS-4+ COR ART""","36.14"
"961","3615 ","44 ","CABG             ","""1 INT MAM-COR ART BYPASS""","36.15"
"962","3616 ","44 ","CABG             ","""2 INT MAM-COR ART BYPASS""","36.16"
"963","3617 ","44 ","CABG             ","""ABD-CORON ART BYPASS (Begin 1996)""","36.17"
"964","3619 ","44 ","CABG             ","""HRT REVAS BYPS ANAS NEC""","36.19"
"965","362  ","44 ","CABG             ","""ARTERIAL IMPLANT REVASC""","36.2"
"966","363  ","44 ","CABG             ","""HEART REVASCULARIZAT NEC (End 1998)""","36.3"
"967","3631 ","44 ","CABG             ","""OPEN CHEST TRANSMYO REVASC (Begin 1998)""","36.31"
"968","3632 ","44 ","CABG             ","""OTH TRANSMYO REVASC (Begin 1998)""","36.32"
"969","3633 ","44 ","CABG             ","""ENDO TRANSMYO REVASCULAR (Begin 2006)""","36.33"
"970","3634 ","44 ","CABG             ","""PERC TRANSMYO REVASCULAR (Begin 2006)""","36.34"
"971","3639 ","44 ","CABG             ","""OTHER HEART REVASC (Begin 1998)""","36.39"
"972","0066 ","45 ","PTCA             ","""PTCA OR CORONARY ATHER (Begin 2005)""","00.66"
"973","1755 ","45 ","PTCA             ","""Translum cor atherectomy (Begin 2011)""","17.55"
"974","3601 ","45 ","PTCA             ","""PTCA-1 VESSEL W/O AGENT (Begin 1986 End 2005)""","36.01"
"975","3602 ","45 ","PTCA             ","""PTCA-1 VESSEL WITH AGNT (Begin 1986 End 2005)""","36.02"
"976","3605 ","45 ","PTCA             ","""PTCA-MULTIPLE VESSEL (Begin 1986 End 2005)""","36.05"
"977","3604 ","46 ","Thrombolysis     ","""INTRCORONRY THROMB INFUS (Begin 1986)""","36.04"
"978","3721 ","47 ","Cardiac cath     ","""RT HEART CARDIAC CATH""","37.21"
"979","3722 ","47 ","Cardiac cath     ","""LEFT HEART CARDIAC CATH""","37.22"
"980","3723 ","47 ","Cardiac cath     ","""RT/LEFT HEART CARD CATH""","37.23"
"981","8852 ","47 ","Cardiac cath     ","""RT HEART ANGIOCARDIOGRAM""","88.52"
"982","8853 ","47 ","Cardiac cath     ","""LT HEART ANGIOCARDIOGRAM""","88.53"
"983","8854 ","47 ","Cardiac cath     ","""RT & LT HEART ANGIOCARD""","88.54"
"984","8855 ","47 ","Cardiac cath     ","""CORONAR ARTERIOGR-1 CATH""","88.55"
"985","8856 ","47 ","Cardiac cath     ","""CORONAR ARTERIOGR-2 CATH""","88.56"
"986","8857 ","47 ","Cardiac cath     ","""CORONARY ARTERIOGRAM NEC""","88.57"
"987","0050 ","48 ","Pacemaker        ","""IMPLA RESYNCHR PACEMAKER W/0 DEFIBRI (Begin 2002)""","00.50"
"988","0051 ","48 ","Pacemaker        ","""IMPLA RESYNCHRONIZATION DEFIBRILLATOR (Begin 2002)""","00.51"
"989","0052 ","48 ","Pacemaker        ","""IMPL/REPL TRANSVENOUS LEAD LF VENTRI (Begin 2002)""","00.52"
"990","0053 ","48 ","Pacemaker        ","""IMPL/REPL PACEMAKER; PLSE GENRATR ONLY (Begin 2002)""","00.53"
"991","0054 ","48 ","Pacemaker        ","""IMPL/REPL DEFIBRIL GENERATOR ONLY (Begin 2002)""","00.54"
"992","0056 ","48 ","Pacemaker        ","""INS/REP IMPL SENSOR LEAD (Begin 2006)""","00.56"
"993","0057 ","48 ","Pacemaker        ","""IMP/REP SUBCUE CARD DEV (Begin 2006)""","00.57"
"994","1751 ","48 ","Pacemaker        ","""Implant CCM""","17.51"
"995","1752 ","48 ","Pacemaker        ","""Implant CCM pulse genrtr (Begin 2009)""","17.52"
"996","3770 ","48 ","Pacemaker        ","""INT INSERT PACEMAK LEAD (Begin 1987)""","37.70"
"997","3771 ","48 ","Pacemaker        ","""INT INSERT LEAD IN VENT (Begin 1987)""","37.71"
"998","3772 ","48 ","Pacemaker        ","""INT INSER LEAD ATRI-VENT (Begin 1987)""","37.72"
"999","3773 ","48 ","Pacemaker        ","""INT INSER LEAD IN ATRIUM (Begin 1987)""","37.73"
"1000","3774 ","48 ","Pacemaker        ","""INT OR REPL LEAD EPICAR (Begin 1987)""","37.74"
"1001","3775 ","48 ","Pacemaker        ","""REVISION OF LEAD (Begin 1987)""","37.75"
"1002","3776 ","48 ","Pacemaker        ","""REPL TV ATRI-VENT LEAD (Begin 1987)""","37.76"
"1003","3777 ","48 ","Pacemaker        ","""REMOVAL OF LEAD W/O REPL (Begin 1987)""","37.77"
"1004","3778 ","48 ","Pacemaker        ","""INSER TEMP PACEMAKER SYS (Begin 1987)""","37.78"
"1005","3779 ","48 ","Pacemaker        ","""REVIS OR RELOCATE POCKET (Begin 1987)""","37.79"
"1006","3780 ","48 ","Pacemaker        ","""INT OR REPL PERM PACEMKR (Begin 1987)""","37.80"
"1007","3781 ","48 ","Pacemaker        ","""INT INSERT 1-CHAM; NON (Begin 1987)""","37.81"
"1008","3782 ","48 ","Pacemaker        ","""INT INSERT 1-CHAM; RATE (Begin 1987)""","37.82"
"1009","3783 ","48 ","Pacemaker        ","""INT INSERT DUAL-CHAM DEV (Begin 1987)""","37.83"
"1010","3785 ","48 ","Pacemaker        ","""REPL PACEM W 1-CHAM; NON (Begin 1987)""","37.85"
"1011","3786 ","48 ","Pacemaker        ","""REPL PACEM 1-CHAM; RATE (Begin 1987)""","37.86"
"1012","3787 ","48 ","Pacemaker        ","""REPL PACEM W DUAL-CHAM (Begin 1987)""","37.87"
"1013","3789 ","48 ","Pacemaker        ","""REVISE OR REMOVE PACEMAK (Begin 1987)""","37.89"
"1014","3794 ","48 ","Pacemaker        ","""IMPLT/REPL CARDDEFIB TOT (Begin 1986)""","37.94"
"1015","3795 ","48 ","Pacemaker        ","""IMPLT CARDIODEFIB LEADS (Begin 1986)""","37.95"
"1016","3796 ","48 ","Pacemaker        ","""IMPLT CARDIODEFIB GENATR (Begin 1986)""","37.96"
"1017","3797 ","48 ","Pacemaker        ","""REPL CARDIODEFIB LEADS (Begin 1986)""","37.97"
"1018","3798 ","48 ","Pacemaker        ","""REPL CARDIODEFIB GENRATR (Begin 1986)""","37.98"
"1019","3531 ","49 ","Ot OR heart      ","""PAPILLARY MUSCLE OPS""","35.31"
"1020","3532 ","49 ","Ot OR heart      ","""CHORDAE TENDINEAE OPS""","35.32"
"1021","3533 ","49 ","Ot OR heart      ","""ANNULOPLASTY""","35.33"
"1022","3534 ","49 ","Ot OR heart      ","""INFUNDIBULECTOMY""","35.34"
"1023","3535 ","49 ","Ot OR heart      ","""TRABECUL CARNEAE CORD OP""","35.35"
"1024","3539 ","49 ","Ot OR heart      ","""TISS ADJ TO VALV OPS NEC""","35.39"
"1025","3541 ","49 ","Ot OR heart      ","""ENLARGE EXISTING SEP DEF""","35.41"
"1026","3542 ","49 ","Ot OR heart      ","""CREATE SEPTAL DEFECT""","35.42"
"1027","3550 ","49 ","Ot OR heart      ","""PROSTH REP HRT SEPTA NOS""","35.50"
