
"Drug Catalog","Generic Drug Name",
"central nervous system agents","hydrOXYzine",
"central nervous system agents","ibuprofen",
"central nervous system agents","ibuprofen-oxyCODONE",
"central nervous system agents","incobotulinumtoxinA",
"central nervous system agents","indomethacin",
"central nervous system agents","isoflurane",
"central nervous system agents","ketamine",
"central nervous system agents","ketoprofen",
"central nervous system agents","ketorolac",
"central nervous system agents","lacosamide",
"central nervous system agents","lamoTRIgine",
"central nervous system agents","lansoprazole-naproxen",
"central nervous system agents","levETIRAcetam",
"central nervous system agents","levodopa",
"central nervous system agents","levomethadyl acetate",
"central nervous system agents","levorphanol",
"central nervous system agents","lisdexamfetamine",
"central nervous system agents","LORazepam",
"central nervous system agents","lorcaserin",
"central nervous system agents","magnesium salicylate",
"central nervous system agents","magnesium salicylate-phenyltoloxamine",
"central nervous system agents","magnesium sulfate",
"central nervous system agents","mazindol",
"central nervous system agents","meclizine",
"central nervous system agents","meclofenamate",
"central nervous system agents","mefenamic acid",
"central nervous system agents","melatonin",
"central nervous system agents","meloxicam",
"central nervous system agents","memantine",
"central nervous system agents","meperidine",
"central nervous system agents","meperidine-promethazine",
"central nervous system agents","mephenytoin",
"central nervous system agents","mephobarbital",
"central nervous system agents","meprobamate",
"central nervous system agents","metaxalone",
"central nervous system agents","methadone",
"central nervous system agents","methamphetamine",
"central nervous system agents","methocarbamol",
"central nervous system agents","methohexital",
"central nervous system agents","methoxyflurane",
"central nervous system agents","methsuximide",
"central nervous system agents","methylphenidate",
"central nervous system agents","methysergide maleate",
"central nervous system agents","metoclopramide",
"central nervous system agents","metocurine",
"central nervous system agents","midazolam",
"central nervous system agents","mivacurium",
"central nervous system agents","modafinil",
"central nervous system agents","morphine",
"central nervous system agents","morphine liposomal",
"central nervous system agents","morphine-naltrexone",
"central nervous system agents","nabilone",
"central nervous system agents","nabumetone",
"central nervous system agents","nalbuphine",
"central nervous system agents","naloxone-pentazocine",
"central nervous system agents","naltrexone",
"central nervous system agents","naproxen",
"central nervous system agents","naproxen-SUMAtriptan",
"central nervous system agents","naratriptan",
"central nervous system agents","netupitant-palonosetron",
"central nervous system agents","onabotulinumtoxinA",
"central nervous system agents","ondansetron",
"central nervous system agents","opium",
"central nervous system agents","orphenadrine",
"central nervous system agents","oxaprozin",
"central nervous system agents","oxazepam",
"central nervous system agents","OXcarbazepine",
"central nervous system agents","oxyCODONE",
"central nervous system agents","oxymorphone",
"central nervous system agents","palonosetron",
"central nervous system agents","pancuronium",
"central nervous system agents","paraldehyde",
"central nervous system agents","paramethadione",
"central nervous system agents","pemoline",
"central nervous system agents","pentazocine",
"central nervous system agents","PENTobarbital",
"central nervous system agents","perampanel",
"central nervous system agents","pergolide",
"central nervous system agents","perphenazine",
"central nervous system agents","phenacemide",
"central nervous system agents","phendimetrazine",
"central nervous system agents","PHENobarbital",
"central nervous system agents","phensuximide",
"central nervous system agents","phentermine",
"central nervous system agents","phentermine-topiramate",
"central nervous system agents","phenytoin",
"central nervous system agents","phosphorated carbohydrate solution",
"central nervous system agents","pilocarpine",
"central nervous system agents","pipecuronium",
"central nervous system agents","piroxicam",
"central nervous system agents","pramipexole",
"central nervous system agents","pregabalin",
"central nervous system agents","primidone",
"central nervous system agents","prochlorperazine",
"central nervous system agents","procyclidine",
"central nervous system agents","promazine",
"central nervous system agents","promethazine",
"central nervous system agents","propiomazine",
"central nervous system agents","propofol",
"central nervous system agents","propoxyphene",
"central nervous system agents","pyrilamine",
"central nervous system agents","quazepam",
"central nervous system agents","ramelteon",
"central nervous system agents","rapacuronium",
"central nervous system agents","rasagiline",
"central nervous system agents","remifentanil",
"central nervous system agents","rimabotulinumtoxinB",
"central nervous system agents","rivastigmine",
"central nervous system agents","rizatriptan",
"central nervous system agents","rocuronium",
"central nervous system agents","rofecoxib",
"central nervous system agents","rolapitant",
"central nervous system agents","rOPINIRole",
"central nervous system agents","ropivacaine-SUFentanil",
"central nervous system agents","rotigotine",
"central nervous system agents","rufinamide",
"central nervous system agents","salicylamide",
"central nervous system agents","salsalate",
"central nervous system agents","scopolamine",
"central nervous system agents","secobarbital",
"central nervous system agents","selegiline",
"central nervous system agents","sevoflurane",
"central nervous system agents","sibutramine",
"central nervous system agents","sodium oxybate",
"central nervous system agents","sodium salicylate",
"central nervous system agents","sodium thiosalicylate",
"central nervous system agents","succinylcholine",
"central nervous system agents","SUFentanil",
"central nervous system agents","sulindac",
"central nervous system agents","SUMAtriptan",
"central nervous system agents","suvorexant",
"central nervous system agents","tacrine",
"central nervous system agents","tapentadol",
"central nervous system agents","tasimelteon",
"central nervous system agents","temazepam",
"central nervous system agents","tetrabenazine",
"central nervous system agents","thiethylperazine",
"central nervous system agents","thiopental",
"central nervous system agents","tiaGABine",
"central nervous system agents","tiZANidine",
"central nervous system agents","tolcapone",
"central nervous system agents","tolmetin",
"central nervous system agents","topiramate",
"central nervous system agents","traMADol",
"central nervous system agents","triazolam",
"central nervous system agents","triflupromazine",
"central nervous system agents","trihexyphenidyl",
"central nervous system agents","trimethadione",
"central nervous system agents","trimethobenzamide",
"central nervous system agents","tubocurarine",
"central nervous system agents","valdecoxib",
"central nervous system agents","valproic acid",
"central nervous system agents","vecuronium",
"central nervous system agents","vigabatrin",
"central nervous system agents","zaleplon",
"central nervous system agents","ziconotide",
"central nervous system agents","ZOLMitriptan",
"central nervous system agents","zolpidem",
"central nervous system agents","zonisamide",
"cephalosporins","cefaclor",
"cephalosporins","cefadroxil",
"cephalosporins","cefamandole",
"cephalosporins","ceFAZolin",
"cephalosporins","cefdinir",
"cephalosporins","cefditoren",
"cephalosporins","cefepime",
"cephalosporins","cefixime",
"cephalosporins","cefmetazole",
"cephalosporins","cefonicid",
"cephalosporins","cefoperazone",
"cephalosporins","cefotaxime",
"cephalosporins","cefoTEtan",
"cephalosporins","cefOXitin",
"cephalosporins","cefpodoxime",
"cephalosporins","cefprozil",
"cephalosporins","ceftaroline",
"cephalosporins","cefTAZidime",
"cephalosporins","ceftibuten",
"cephalosporins","ceftizoxime",
"cephalosporins","cefTRIAXone",
"cephalosporins","cefTRIAXone-lidocaine",
"cephalosporins","cefuroxime",
"cephalosporins","cephalexin",
"cephalosporins","cephalothin",
"cephalosporins","cephapirin",
"cephalosporins","cephradine",
"cephalosporins","loracarbef",
"cerumenolytics","carbamide peroxide otic",
"cerumenolytics","glycerin otic",
"cerumenolytics","triethanolamine polypeptide oleate otic",
"CFTR combinations","ivacaftor-lumacaftor",
"CFTR modulators","ivacaftor",
"chelating agents","deferasirox",
"chelating agents","deferiprone",
"chelating agents","deferoxamine",
"chelating agents","succimer",
"chelating agents","trientine",
"chloride channel activators","lubiprostone",
"cholesterol absorption inhibitors","ezetimibe",
"cholinergic agonists","cevimeline",
"cholinergic agonists","pilocarpine",
"cholinergic muscle stimulants","ambenonium",
"cholinergic muscle stimulants","atropine-edrophonium",
"cholinergic muscle stimulants","dalfampridine",
"cholinergic muscle stimulants","edrophonium",
"cholinergic muscle stimulants","guanidine",
"cholinergic muscle stimulants","neostigmine",
"cholinergic muscle stimulants","pyridostigmine",
"cholinesterase inhibitors","donepezil",
"cholinesterase inhibitors","donepezil-memantine",
"cholinesterase inhibitors","galantamine",
"cholinesterase inhibitors","rivastigmine",
"cholinesterase inhibitors","tacrine",
"CNS stimulants","amphetamine",
"CNS stimulants","amphetamine-dextroamphetamine",
"CNS stimulants","armodafinil",
"CNS stimulants","atomoxetine",
"CNS stimulants","benzphetamine",
"CNS stimulants","caffeine",
"CNS stimulants","caffeine-sodium benzoate",
"CNS stimulants","dexmethylphenidate",
"CNS stimulants","dextroamphetamine",
"CNS stimulants","diethylpropion",
"CNS stimulants","doxapram",
"CNS stimulants","fenfluramine",
"CNS stimulants","lisdexamfetamine",
"CNS stimulants","mazindol",
"CNS stimulants","methamphetamine",
"CNS stimulants","methylphenidate",
"CNS stimulants","modafinil",
"CNS stimulants","pemoline",
"CNS stimulants","phendimetrazine",
"CNS stimulants","phentermine",
"coagulation modifiers","abciximab",
"coagulation modifiers","alteplase",
"coagulation modifiers","aminocaproic acid",
"coagulation modifiers","anisindione",
"coagulation modifiers","anistreplase",
"coagulation modifiers","antihemophilic factor",
"coagulation modifiers","antihemophilic factor-von Willebrand factor",
"coagulation modifiers","anti-inhibitor coagulant complex",
"coagulation modifiers","antithrombin III",
"coagulation modifiers","antithrombin recombinant",
"coagulation modifiers","apixaban",
"coagulation modifiers","ardeparin",
"coagulation modifiers","argatroban",
"coagulation modifiers","aspirin",
"coagulation modifiers","aspirin-calcium carbonate",
"coagulation modifiers","aspirin-dipyridamole",
"coagulation modifiers","aspirin-pravastatin",
"coagulation modifiers","bivalirudin",
"coagulation modifiers","C1 esterase inhibitor, human",
"coagulation modifiers","cangrelor",
"coagulation modifiers","cilostazol",
"coagulation modifiers","clopidogrel",
"coagulation modifiers","coagulation factor IX",
"coagulation modifiers","coagulation factor VIIa",
"coagulation modifiers","complement C1 esterase inhibitor",
"coagulation modifiers","conestat alfa",
"coagulation modifiers","dabigatran",
"coagulation modifiers","dalteparin",
"coagulation modifiers","danaparoid",
"coagulation modifiers","desirudin",
"coagulation modifiers","dicumarol",
"coagulation modifiers","dipyridamole",
"coagulation modifiers","drotrecogin alfa",
"coagulation modifiers","ecallantide",
"coagulation modifiers","edoxaban",
"coagulation modifiers","eltrombopag",
"coagulation modifiers","enoxaparin",
"coagulation modifiers","eptifibatide",
"coagulation modifiers","factor IX complex",
"coagulation modifiers","factor XIII",
"coagulation modifiers","ferric subsulfate topical",
"coagulation modifiers","fibrinogen",
"coagulation modifiers","fibrinogen-thrombin topical",
"coagulation modifiers","fibrin sealant topical",
"coagulation modifiers","fondaparinux",
"coagulation modifiers","heparin",
"coagulation modifiers","heparin flush",
"coagulation modifiers","idarucizumab",
"coagulation modifiers","lepirudin",
"coagulation modifiers","oprelvekin",
"coagulation modifiers","pentoxifylline",
"coagulation modifiers","phytonadione",
"coagulation modifiers","prasugrel",
"coagulation modifiers","protamine",
"coagulation modifiers","protein C",
"coagulation modifiers","prothrombin complex",
"coagulation modifiers","reteplase",
"coagulation modifiers","rivaroxaban",
"coagulation modifiers","romiPLOStim",
"coagulation modifiers","streptokinase",
"coagulation modifiers","tenecteplase",
"coagulation modifiers","thrombin topical",
"coagulation modifiers","ticagrelor",
"coagulation modifiers","ticlopidine",
"coagulation modifiers","tinzaparin",
"coagulation modifiers","tirofiban",
"coagulation modifiers","tranexamic acid",
"coagulation modifiers","urokinase",
"coagulation modifiers","vorapaxar",
"coagulation modifiers","warfarin",
"colony stimulating factors","filgrastim",
"colony stimulating factors","pegfilgrastim",
"colony stimulating factors","sargramostim",
"colony stimulating factors","tbo-filgrastim",
"contraceptives","desogestrel-ethinyl estradiol",
"contraceptives","dienogest-estradiol",
"contraceptives","drospirenone-ethinyl estradiol",
"contraceptives","drospirenone/ethinyl estradiol/levomefolate",
"contraceptives","estradiol-medroxyPROGESTERone",
"contraceptives","ethinyl estradiol-ethynodiol",
"contraceptives","ethinyl estradiol-etonogestrel",
"contraceptives","ethinyl estradiol/folic acid/levonorgestrel",
"contraceptives","ethinyl estradiol-levonorgestrel",
"contraceptives","ethinyl estradiol-norelgestromin",
"contraceptives","ethinyl estradiol-norethindrone",
"contraceptives","ethinyl estradiol-norgestimate",
"contraceptives","ethinyl estradiol-norgestrel",
"contraceptives","etonogestrel",
"contraceptives","levonorgestrel",
"contraceptives","medroxyPROGESTERone",
"contraceptives","mestranol-norethindrone",
"contraceptives","norethindrone",
"corticotropin","corticorelin",
"corticotropin","corticotropin",
"corticotropin","cosyntropin",
"coumarins and indanediones","anisindione",
"coumarins and indanediones","dicumarol",
"coumarins and indanediones","warfarin",
"cox-2 inhibitors","celecoxib",
"cox-2 inhibitors","rofecoxib",
"cox-2 inhibitors","valdecoxib",
"decongestants","ePHEDrine",
"decongestants","phenylephrine",
"decongestants","phenylpropanolamine",
"decongestants","pseudoephedrine",
"dermatological agents","acetic acid topical",
"dermatological agents","acyclovir-hydrocortisone topical",
"dermatological agents","acyclovir topical",
"dermatological agents","adapalene-benzoyl peroxide topical",
"dermatological agents","adapalene topical",
"dermatological agents","alclometasone topical",
"dermatological agents","aldioxa-chloroxylenol topical",
"dermatological agents","alitretinoin topical",
"dermatological agents","allantoin/camphor/phenol topical",
"dermatological agents","allantoin topical",
"dermatological agents","aloe/collagen/lidocai/Na hyaluronate topical",
"dermatological agents","aloe polysaccharides/HC/iodoquinol topical",
"dermatological agents","aloe polysaccharides-iodoquinol topical",
"dermatological agents","aloe vera/collagen/lidocaine topical",
"dermatological agents","aloe vera topical",
"dermatological agents","aluminum acetate topical",
"dermatological agents","aluminum chloride hexahydrate topical",
"dermatological agents","aluminum sulfate-calcium acetate topical",
"dermatological agents","aluminum sulfate topical",
"dermatological agents","amcinonide topical",
"dermatological agents","aminolevulinic acid topical",
"dermatological agents","ammoniated mercury-salicylic acid topical",
"dermatological agents","ammoniated mercury topical",
"dermatological agents","ammonium lactate-halobetasol topical",
"dermatological agents","ammonium lactate-mometasone topical",
"dermatological agents","ammonium lactate-pramoxine topical",
"dermatological agents","ammonium lactate topical",
"dermatological agents","ammonium lactate-urea topical",
"dermatological agents","amphotericin B topical",
"dermatological agents","anthralin topical",
"dermatological agents","arnica topical",
"dermatological agents","azelaic acid topical",
"dermatological agents","bacitracin/diperodon/neomycin/polymyxin B top",
"dermatological agents","bacitracin/HC/neomycin/polymyxin B topical",
"dermatological agents","bacitracin/lidocaine/neomycin/polymyxin B top",
"dermatological agents","bacitracin/neomycin/polymyxin B/pramoxine top",
"dermatological agents","bacitracin/neomycin/polymyxin B topical",
"dermatological agents","bacitracin/polymyxin B/pramoxine topical",
"dermatological agents","bacitracin-polymyxin B topical",
"dermatological agents","bacitracin topical",
"dermatological agents","bacitracin-zinc oxide topical",
"dermatological agents","baclofen/flurbiprofen/lidocaine topical",
"dermatological agents","balsam Peru-castor oil topical",
"dermatological agents","balsam Peru/castor oil/trypsin topical",
"dermatological agents","balsam Peru topical",
"dermatological agents","becaplermin topical",
"dermatological agents","bentoquatam topical",
"dermatological agents","benzalkonium chloride-lidocaine topical",
"dermatological agents","benzethonium chloride-benzocaine topical",
"dermatological agents","benzethonium chloride-lidocaine topical",
"dermatological agents","benzocaine-chloroxylenol topical",
"dermatological agents","benzocaine topical",
"dermatological agents","benzoic acid-salicylic acid topical",
"dermatological agents","benzoin topical",
"dermatological agents","benzoyl peroxide/clindamycin/hyaluron topical",
"dermatological agents","benzoyl peroxide-clindamycin topical",
"dermatological agents","benzoyl peroxide-erythromycin topical",
"dermatological agents","benzoyl peroxide-hydrocortisone topical",
"dermatological agents","benzoyl peroxide-salicylic acid topical",
"dermatological agents","benzoyl peroxide-sodium hyaluronate topical",
"dermatological agents","benzoyl peroxide-sulfur topical",
"dermatological agents","benzoyl peroxide topical",
"dermatological agents","benzoyl peroxide-urea topical",
"dermatological agents","benzyl alcohol topical",
"dermatological agents","benzyl alcohol-zinc acetate topical",
"dermatological agents","benzyl benzoate topical",
"dermatological agents","betamethasone-calcipotriene topical",
"dermatological agents","betamethasone-clotrimazole topical",
"dermatological agents","betamethasone topical",
"dermatological agents","bexarotene topical",
"dermatological agents","bimatoprost topical ophthalmic",
"dermatological agents","boric acid topical",
"dermatological agents","brimonidine topical",
"dermatological agents","butamben topical",
"dermatological agents","butenafine topical",
"dermatological agents","cadexomer iodine topical",
"dermatological agents","calamine-diphenhydrAMINE topical",
"dermatological agents","calamine-pramoxine topical",
"dermatological agents","calamine topical",
"dermatological agents","calamine-zinc oxide topical",
"dermatological agents","calcipotriene topical",
"dermatological agents","calcitriol topical",
"dermatological agents","calcium hydroxide topical",
"dermatological agents","camphor/eucalyptus/menthol topical",
"dermatological agents","camphor-menthol topical",
"dermatological agents","camphor-phenol topical",
"dermatological agents","camphor topical",
"dermatological agents","capsaicin/lidocaine/menthol/methyl salic top",
"dermatological agents","capsaicin/lidocaine/menthol topical",
"dermatological agents","capsaicin/menthol/methyl salicylate topical",
"dermatological agents","capsaicin-menthol topical",
"dermatological agents","capsaicin topical",
"dermatological agents","carboxymethylcellulose-sodium hyaluronate",
"dermatological agents","chloramphenicol/fibrinolys/desoxyribo topical",
"dermatological agents","chlorcyclizine-hydrocortisone topical",
"dermatological agents","chlorcyclizine topical",
"dermatological agents","chlorophyllin copper com/papain/urea topical",
"dermatological agents","chlorophyllin copper complex topical",
"dermatological agents","chloroxine topical",
"dermatological agents","chloroxylenol-lidocaine topical",
"dermatological agents","chloroxylenol-undecylenic acid topical",
"dermatological agents","ciclopirox topical",
"dermatological agents","clindamycin topical",
"dermatological agents","clindamycin-tretinoin topical",
"dermatological agents","clioquinol/hydrocortisone/pramoxine topical",
"dermatological agents","clioquinol-hydrocortisone topical",
"dermatological agents","clioquinol topical",
"dermatological agents","clobetasol-coal tar topical",
"dermatological agents","clobetasol topical",
"dermatological agents","clocortolone topical",
"dermatological agents","clotrimazole topical",
"dermatological agents","coal tar/lactic acid/salicylic acid topical",
"dermatological agents","coal tar/salicylic acid/sulfur topical",
"dermatological agents","coal tar-salicylic acid topical",
"dermatological agents","coal tar topical",
"dermatological agents","cocaine topical",
"dermatological agents","collagenase topical",
"dermatological agents","collagen topical",
"dermatological agents","colloidal oatmeal topical",
"dermatological agents","corn starch topical",
"dermatological agents","crotamiton topical",
"dermatological agents","dapsone topical",
"dermatological agents","desonide topical",
"dermatological agents","desoximetasone topical",
"dermatological agents","dexamethasone-neomycin topical",
"dermatological agents","dexamethasone topical",
"dermatological agents","dexpanthenol topical",
"dermatological agents","dextranomer topical",
"dermatological agents","dibucaine topical",
"dermatological agents","dichloroacetic acid topical",
"dermatological agents","dichlorotetrafluorethane-ethyl Cl topical",
"dermatological agents","diclofenac-fluorouracil topical",
"dermatological agents","diclofenac topical",
"dermatological agents","diflorasone topical",
"dermatological agents","dihydroxyacetone topical",
"dermatological agents","dimethyl sulfoxide topical",
"dermatological agents","diphenhydrAMINE-hydrocortisone topical",
"dermatological agents","diphenhydrAMINE topical",
"dermatological agents","diphenhydrAMINE-tripelennamine topical",
"dermatological agents","diphenhydrAMINE-zinc acetate topical",
"dermatological agents","docosanol topical",
"dermatological agents","doxepin topical",
"dermatological agents","dyclonine topical",
"dermatological agents","econazole topical",
"dermatological agents","efinaconazole topical",
"dermatological agents","eflornithine topical",
"dermatological agents","emollients, topical",
"dermatological agents","EPINEPHrine/lidocaine/tetracaine topical",
"dermatological agents","EPINEPHrine topical",
"dermatological agents","erythromycin topical",
"dermatological agents","ethyl chloride topical",
"dermatological agents","fibrinolysin and desoxyribonuclease topical",
"dermatological agents","fluocinolone/hydroquinone/tretinoin topical",
"dermatological agents","fluocinolone-neomycin topical",
"dermatological agents","fluocinolone topical",
"dermatological agents","fluocinonide topical",
"dermatological agents","fluoromethane topical",
"dermatological agents","fluorouracil topical",
"dermatological agents","flurandrenolide topical",
"dermatological agents","fluticasone topical",
"dermatological agents","formaldehyde topical",
"dermatological agents","gentamicin topical",
"dermatological agents","gentian violet topical",
"dermatological agents","glycerin topical",
"dermatological agents","halcinonide topical",
"dermatological agents","halobetasol topical",
"dermatological agents","haloprogin topical",
"dermatological agents","hexylresorcinol topical",
"dermatological agents","hydrocortisone-iodoquinol topical",
"dermatological agents","hydrocortisone-ketoconazole topical",
"dermatological agents","hydrocortisone-lidocaine topical",
"dermatological agents","hydrocortisone-lidocaine topical w psyllium",
"dermatological agents","hydrocortisone/neomycin/polymyxin B topical",
"dermatological agents","hydrocortisone-neomycin topical",
"dermatological agents","hydrocortisone/salicylic acid/sulfur topical",
"dermatological agents","hydrocortisone topical",
"dermatological agents","hydrogen peroxide topical",
"dermatological agents","hydroquinone topical",
"dermatological agents","imiquimod topical",
"dermatological agents","ingenol topical",
"dermatological agents","ivermectin topical",
"dermatological agents","ketamine/ketoprofen/lidocaine topical",
"dermatological agents","ketoconazole-pyrithione zinc topical",
"dermatological agents","ketoconazole topical",
"dermatological agents","lactic acid topical",
"dermatological agents","lactic acid-urea topical",
"dermatological agents","lanolin-mineral oil topical",
"dermatological agents","lanolin topical",
"dermatological agents","lidocaine/menthol/methyl salicylate topical",
"dermatological agents","lidocaine-menthol topical",
"dermatological agents","lidocaine-prilocaine topical",
"dermatological agents","lidocaine-tetracaine topical",
"dermatological agents","lidocaine topical",
"dermatological agents","lindane topical",
"dermatological agents","luliconazole topical",
"dermatological agents","mafenide topical",
"dermatological agents","malathion topical",
"dermatological agents","masoprocol topical",
"dermatological agents","mechlorethamine topical",
"dermatological agents","meclocycline sulfosalicylate topical",
"dermatological agents","menthol-methyl salicylate topical",
"dermatological agents","menthol-phenol topical",
"dermatological agents","menthol-pramoxine topical",
"dermatological agents","menthol topical",
"dermatological agents","menthol-zinc oxide topical",
"dermatological agents","mequinol-tretinoin topical",
"dermatological agents","methoxsalen topical",
"dermatological agents","methyl aminolevulinate topical",
"dermatological agents","methylPREDNISolone-neomycin topical",
"dermatological agents","methyl salicylate topical",
"dermatological agents","metroNIDAZOLE topical",
"dermatological agents","miconazole topical",
"dermatological agents","miconazole-zinc oxide topical",
"dermatological agents","minoxidil topical",
"dermatological agents","mometasone topical",
"dermatological agents","monobenzone topical",
"dermatological agents","monochloracetic acid topical",
"dermatological agents","mupirocin topical",
"dermatological agents","naftifine topical",
"dermatological agents","neomycin/polymyxin B/pramoxine topical",
"dermatological agents","neomycin-polymyxin B sulfate topical",
"dermatological agents","neomycin topical",
"dermatological agents","nicotinamide topical",
"dermatological agents","nitrofurazone topical",
"dermatological agents","nystatin topical",
"dermatological agents","nystatin-triamcinolone topical",
"dermatological agents","oxiconazole topical",
"dermatological agents","papain topical",
"dermatological agents","papain-urea topical",
"dermatological agents","penciclovir topical",
"dermatological agents","pentafluoropropane-tetrafluoroethane topical",
"dermatological agents","permethrin/piperonyl butoxide/pyrethr topical",
"dermatological agents","permethrin topical",
"dermatological agents","petrolatum topical",
"dermatological agents","phenol topical",
"dermatological agents","phenol-zinc oxide topical",
"dermatological agents","pimecrolimus topical",
"dermatological agents","piperonyl butoxide-pyrethrins topical",
"dermatological agents","podofilox topical",
"dermatological agents","podophyllum resin topical",
"dermatological agents","pramoxine topical",
"dermatological agents","pramoxine-zinc acetate topical",
"dermatological agents","prednicarbate topical",
"dermatological agents","pyrithione zinc-salicylic acid topical",
"dermatological agents","pyrithione zinc topical",
"dermatological agents","resorcinol-sulfur topical",
"dermatological agents","resorcinol topical",
"dermatological agents","retapamulin topical",
"dermatological agents","salicylic acid-sodium thiosulfate topical",
"dermatological agents","salicylic acid-sulfur topical",
"dermatological agents","salicylic acid topical",
"dermatological agents","salicylic acid-urea topical",
"dermatological agents","selenium sulfide topical",
"dermatological agents","sertaconazole topical",
"dermatological agents","silver sulfADIAZINE topical",
"dermatological agents","silver topical",
"dermatological agents","silver-zinc oxide topical",
"dermatological agents","sinecatechins topical",
"dermatological agents","sodium borate topical",
"dermatological agents","sodium hyaluronate topical",
"dermatological agents","sodium hyaluronate-urea topical",
"dermatological agents","spinosad topical",
"dermatological agents","sulconazole topical",
"dermatological agents","sulfacetamide sodium-sulfur topical",
"dermatological agents","sulfacetamide sodium/sulfur/urea topical",
"dermatological agents","sulfacetamide sodium topical",
"dermatological agents","sulfacetamide sodium-urea topical",
"dermatological agents","sulfur topical",
"dermatological agents","sutilains topical",
"dermatological agents","tacrolimus topical",
"dermatological agents","tannic acid topical",
"dermatological agents","tavaborole topical",
"dermatological agents","tazarotene topical",
"dermatological agents","terbinafine topical",
"dermatological agents","tetracaine topical",
"dermatological agents","tetracycline topical",
"dermatological agents","tolnaftate topical",
"dermatological agents","tretinoin topical",
"dermatological agents","triacetin topical",
"dermatological agents","triamcinolone topical",
"dermatological agents","trichloroacetic acid topical",
"dermatological agents","tripelennamine topical",
"dermatological agents","triple dye topical",
"dermatological agents","trolamine salicylate topical",
"dermatological agents","undecylenic acid topical",
"dermatological agents","urea topical",
"dermatological agents","vitamin A &amp; D topical",
"dermatological agents","vitamin A topical",
"dermatological agents","vitamin E topical",
"dermatological agents","vitamins A, D, and E topical",
"dermatological agents","witch hazel topical",
"dermatological agents","zinc acetate topical",
"dermatological agents","zinc oxide topical",
"diagnostic radiopharmaceuticals","florbetapir F 18",
"diagnostic radiopharmaceuticals","florbetapir F-18",
"diagnostic radiopharmaceuticals","fludeoxyglucose F-18",
"diagnostic radiopharmaceuticals","fludeoxyglucose F18",
"diagnostic radiopharmaceuticals","gallium citrate Ga-67",
"diagnostic radiopharmaceuticals","indium chloride In-111",
"diagnostic radiopharmaceuticals","indium oxyquinoline In-111",
"diagnostic radiopharmaceuticals","indium pentetate In-111",
"diagnostic radiopharmaceuticals","indium pentetreotide In-111",
"diagnostic radiopharmaceuticals","iobenguane I-123",
"diagnostic radiopharmaceuticals","ioflupane I-123",
"diagnostic radiopharmaceuticals","radium Ra 223 dichloride",
"diagnostic radiopharmaceuticals","sodium chromate Cr-51",
"diagnostic radiopharmaceuticals","sodium iodide I-123",
"diagnostic radiopharmaceuticals","sulfur hexafluoride",
"diagnostic radiopharmaceuticals","thallous chloride Tl-201",
"diagnostic radiopharmaceuticals","xenon Xe-133",
"diarylquinolines","bedaquiline",
"dibenzazepine anticonvulsants","carBAMazepine",
"dibenzazepine anticonvulsants","eslicarbazepine",
"dibenzazepine anticonvulsants","OXcarbazepine",
"dibenzazepine anticonvulsants","rufinamide",
"digestive enzymes","alpha-D-galactosidase",
"digestive enzymes","amylase/cellulase/lipase/protease",
"digestive enzymes","cellulase/hyoscyamin/pancrelipase/phenyltolox",
"digestive enzymes","cholic acid",
"digestive enzymes","digestive enzymes/hyoscyamine/phenyltoloxamin",
"digestive enzymes","lactase",
"digestive enzymes","pancreatin",
"digestive enzymes","pancrelipase",
"digestive enzymes","pepsin",
"digestive enzymes","sacrosidase",
"dipeptidyl peptidase 4 inhibitors","alogliptin",
"dipeptidyl peptidase 4 inhibitors","linagliptin",
"dipeptidyl peptidase 4 inhibitors","saxagliptin",
"dipeptidyl peptidase 4 inhibitors","sitaGLIPtin",
"diuretics","acetaZOLAMIDE",
"diuretics","aMILoride",
"diuretics","bendroflumethiazide",
"diuretics","benzthiazide",
"diuretics","bumetanide",
"diuretics","chlorothiazide",
"diuretics","chlorthalidone",
"diuretics","dichlorphenamide",
"diuretics","ethacrynic acid",
"diuretics","furosemide",
"diuretics","hydrochlorothiazide",
"diuretics","hydroflumethiazide",
"diuretics","indapamide",
"diuretics","mannitol",
"diuretics","methazolamide",
"diuretics","methyclothiazide",
"diuretics","metolazone",
"diuretics","pamabrom",
"diuretics","polythiazide",
"diuretics","spironolactone",
"diuretics","torsemide",
"diuretics","triamterene",
"diuretics","trichlormethiazide",
"diuretics","urea",
"dopaminergic antiparkinsonism agents","amantadine",
"dopaminergic antiparkinsonism agents","apomorphine",
"dopaminergic antiparkinsonism agents","bromocriptine",
"dopaminergic antiparkinsonism agents","cabergoline",
"dopaminergic antiparkinsonism agents","carbidopa",
"dopaminergic antiparkinsonism agents","carbidopa/entacapone/levodopa",
"dopaminergic antiparkinsonism agents","carbidopa-levodopa",
"dopaminergic antiparkinsonism agents","entacapone",
"dopaminergic antiparkinsonism agents","levodopa",
"dopaminergic antiparkinsonism agents","pergolide",
"dopaminergic antiparkinsonism agents","pramipexole",
"dopaminergic antiparkinsonism agents","rasagiline",
"dopaminergic antiparkinsonism agents","rOPINIRole",
"dopaminergic antiparkinsonism agents","rotigotine",
"dopaminergic antiparkinsonism agents","selegiline",
"dopaminergic antiparkinsonism agents","tolcapone",
"drugs used in alcohol dependence","acamprosate",
"drugs used in alcohol dependence","disulfiram",
"drugs used in alcohol dependence","naltrexone",
"echinocandins","anidulafungin",
"echinocandins","caspofungin",
"echinocandins","micafungin",
